time_min,time_hours,S_mean,A_mean,Ap_c_mean,Ap_n_mean,r_mean,R_mean,f_mean,F_mean,a_mean
608.8977955911823,10.148296593186373,0.0,485934.57615329884,4.5,1.9,0.0,339.5,0.7,9012.688844374974,15.1
611.7835671342685,10.196392785571142,0.0,487796.24418368953,4.8,1.4,0.0,320.1,0.6,8770.8,15.0
614.6693386773547,10.244488977955912,0.0,489622.0700657999,4.3,1.3,0.0,304.6,0.5,8549.9,15.0
617.5551102204408,10.292585170340681,0.0,491569.8793579199,3.7,1.3,0.0,289.9,0.4,8326.63099622212,15.3
620.440881763527,10.340681362725451,0.0,493441.5937165477,3.1,1.2,0.0,273.9,0.4,8106.5,15.3
623.3266533066133,10.38877755511022,0.0,495316.0463702742,2.9,1.0,0.0,259.0,0.4,7879.249842672146,15.1
626.2124248496993,10.43687374749499,0.0,497135.75073696533,2.9,0.6,0.0,244.7,0.4,7669.348085650547,15.0
629.0981963927856,10.48496993987976,0.0,498952.7719142617,2.4,0.7,0.0,228.9,0.4,7463.7,15.0
631.9839679358718,10.53306613226453,0.0,500708.89629583026,2.2,0.6,0.0,218.3,0.4,7265.2,14.8
634.869739478958,10.581162324649299,0.0,502473.4628282761,1.9,0.6,0.0,207.3,0.4,7070.830954742776,14.9
637.7555110220441,10.629258517034069,0.0,504263.97135301103,1.7,0.7,0.0,194.7,0.4,6890.8,14.8
640.6412825651303,10.677354709418838,0.0,506015.9950594602,1.8,0.5,0.0,184.2,0.4,6707.3,14.7
643.5270541082165,10.725450901803606,0.0,507774.5294198783,1.8,0.4,0.0,174.4,0.4,6533.4,14.8
646.4128256513026,10.773547094188377,0.0,509514.25045899366,1.6,0.5,0.0,165.62694262849908,0.4,6360.0,14.8
649.2985971943888,10.821643286573146,0.0,511281.56392776576,1.5,0.4,0.0,158.0,0.4,6186.5,14.8
652.184368737475,10.869739478957916,0.0,513019.56824009854,1.5,0.4,0.0,149.5,0.4,6031.0,15.0
655.0701402805611,10.917835671342685,0.0,514793.25751267886,1.5,0.3,0.0,140.3,0.4,5877.5,15.1
657.9559118236473,10.965931863727455,0.0,516595.2860203497,1.4,0.3,0.0,134.0,0.4,5722.5,15.1
660.8416833667335,11.014028056112224,0.0,518390.6437501805,1.5,0.1,0.0,127.8,0.4,5576.1,15.3
663.7274549098196,11.062124248496994,0.0,520205.5119555191,1.3,0.2,0.0,121.5,0.4,5431.4,14.8
666.6132264529058,11.110220440881763,0.0,522003.3205260096,1.1,0.2,0.0,113.9,0.4,5294.127898183063,15.0
669.498997995992,11.158316633266534,0.0,523743.2452771176,1.1,0.2,0.0,107.8,0.4,5151.7,14.9
672.3847695390782,11.206412825651302,0.0,525483.4171896859,1.2,0.1,0.0,101.9,0.4,5017.706662739615,14.7
675.2705410821643,11.254509018036073,0.0,527161.0625991101,1.0,0.2,0.0,95.5,0.4,4892.5,14.6
678.1563126252505,11.302605210420841,0.0,528863.5886719616,1.1,0.1,0.0,90.5,0.4,4759.1,14.5
681.0420841683367,11.350701402805612,0.0,530568.8249277703,0.8,0.2,0.0,85.1,0.4,4638.5,15.1
683.9278557114228,11.39879759519038,0.0,532335.4579489053,0.7,0.1,0.0,80.1,0.4,4515.9,15.0
686.813627254509,11.446893787575151,0.0,534067.4427679813,0.7,0.1,0.0,75.8,0.4,4399.7,15.0
689.6993987975952,11.49498997995992,0.0,535810.4495091287,0.7,0.1,0.0,71.0,0.3,4289.072325539967,15.0
692.5851703406813,11.54308617234469,0.0,537538.2489191338,0.5,0.1,0.0,67.35120076214332,0.2,4170.4,14.9
695.4709418837675,11.591182364729459,0.0,539273.2163773524,0.5,0.0,0.0,64.1,0.1,4058.5,15.0
